valCH0[0].real, 0x0000,
valCH0[0].imag, 0x0000,
valCH0[1].real, 00000000 00000000,
valCH0[1].imag, 0x0000,
valCH0[2].real, 0x0000,
valCH0[2].imag, 0x0000,
valCH0[3].real, 0x0000,
valCH0[3].imag, 0x0000,
valCH0[4].real, 00000000 00000000,
valCH0[4].imag, 0x0000,
valCH0[5].real, 0x0000,
valCH0[5].imag, 0x0000,
valCH0[6].real, 0x0800,
valCH0[6].imag, 0x0000,
valCH0[7].real, 0x0000,
valCH0[7].imag, 0x0000,
valCH0[8].real, 0x0000,
valCH0[8].imag, 0x0000,
valCH0[9].real, 0x0000,
valCH0[9].imag, 0x0000,
valCH0[10].real, 0x0000,
valCH0[10].imag, 0x0000,
valCH0[11].real, 00000000 00000000,
valCH0[11].imag, 0x0000,
valCH0[12].real, 0x0000,
valCH0[12].imag, 0x0000,
valCH0[13].real, 0x0000,
valCH0[13].imag, 0x0000,
valCH0[14].real, 0x0000,
valCH0[14].imag, 0x0000,
valCH0[15].real, 0x0000,
valCH0[15].imag, 0x0000,
valCH0[16].real, 0x0000,
valCH0[16].imag, 0x0000,
valCH0[17].real, 0x0000,
valCH0[17].imag, 0x0000,
valCH0[18].real, 0x0000,
valCH0[18].imag, 0x0000,
valCH0[19].real, 0x0000,
valCH0[19].imag, 0x0000,
valCH0[20].real, 0x0000,
valCH0[20].imag, 0x0000,
valCH0[21].real, 0x0000,
valCH0[21].imag, 0x0000,
valCH0[22].real, 0x0000,
valCH0[22].imag, 0x0000,
valCH0[23].real, 0x0000,
valCH0[23].imag, 0x0000,
valCH0[24].real, 0x0000,
valCH0[24].imag, 0x0000,
valCH0[25].real, 0x0000,
valCH0[25].imag, 0x0000,
valCH0[26].real, 0x0000,
valCH0[26].imag, 0x0000,
valCH0[27].real, 0x0000,
valCH0[27].imag, 0x0000,
valCH0[28].real, 0x0000,
valCH0[28].imag, 0x0000,
valCH0[29].real, 0x0000,
valCH0[29].imag, 0x0000,
valCH0[30].real, 0x0000,
valCH0[30].imag, 0x0000,
valCH0[31].real, 0x0000,
