output[0], 0x0000,
output[1], 0x0000,
output[2], 0x0000,
output[3], 0x0000,
output[4], 0x0000,
output[5], 0x0000,
output[6], 0x0000,
output[7], 0x0000,
output[8], 0x0000,
output[9], 0x0000,
output[10], 0x0000,
output[11], 0x0000,
output[12], 0x0800,
output[13], 0x0000,
output[14], 0x0000,
output[15], 0x0000,
output[16], 0x0000,
output[17], 0x0000,
output[18], 0x0000,
output[19], 0x0000,
output[20], 0x0000,
output[21], 0x0000,
output[22], 0x0000,
output[23], 0x0000,
output[24], 0x0000,
output[25], 0x0000,
output[26], 0x0000,
output[27], 0x0000,
output[28], 0x0000,
output[29], 0x0000,
output[30], 0x0000,
output[31], 0x0000,
output[32], 0x0000,
output[33], 0x0000,
output[34], 0x0000,
output[35], 0x0000,
output[36], 0x0000,
output[37], 0x0000,
output[38], 0x0000,
output[39], 0x0000,
output[40], 0x0000,
output[41], 0x0000,
output[42], 0x0000,
output[43], 0x0000,
output[44], 0x0000,
output[45], 0x0000,
output[46], 0x0000,
output[47], 0x0000,
output[48], 0x0000,
output[49], 0x0000,
output[50], 0x0000,
output[51], 0x0000,
output[52], 0x0000,
output[53], 0x0000,
output[54], 0x0000,
output[55], 0x0000,
output[56], 0x0000,
output[57], 0x0000,
output[58], 0x0000,
output[59], 0x0000,
output[60], 0x0000,
output[61], 0x0000,
output[62], 0x0000,
output[63], 0x0000,
output[64], 0x0000,
output[65], 0x0000,
output[66], 0x0000,
output[67], 0x0000,
output[68], 0x0000,
output[69], 0x0000,
output[70], 0x0000,
output[71], 0x0000,
output[72], 0x0000,
output[73], 0x0000,
output[74], 0x0000,
output[75], 0x0000,
output[76], 0x0000,
output[77], 0x0000,
output[78], 0x0000,
output[79], 0x0000,
output[80], 0x0000,
output[81], 0x0000,
output[82], 0x0000,
output[83], 0x0000,
output[84], 0x0000,
output[85], 0x0000,
output[86], 0x0000,
output[87], 0x0000,
output[88], 0x0000,
output[89], 0x0000,
output[90], 0x0000,
output[91], 0x0000,
output[92], 0x0000,
output[93], 0x0000,
output[94], 0x0000,
output[95], 0x0000,
output[96], 0x0000,
output[97], 0x0000,
output[98], 0x0000,
output[99], 0x0000,
output[100], 0x0000,
output[101], 0x0000,
output[102], 0x0000,
output[103], 0x0000,
output[104], 0x0000,
output[105], 0x0000,
output[106], 0x0000,
output[107], 0x0000,
output[108], 0x0000,
output[109], 0x0000,
output[110], 0x0000,
output[111], 0x0000,
output[112], 0x0000,
output[113], 0x0000,
output[114], 0x0000,
output[115], 0x0000,
output[116], 0x0000,
output[117], 0x0000,
output[118], 0x0000,
output[119], 0x0000,
output[120], 0x0000,
output[121], 0x0000,
output[122], 0x0000,
output[123], 0x0000,
output[124], 0x0000,
output[125], 0x0000,
output[126], 0x0000,
output[127], 0x0000,
output[128], 0x0000,
output[129], 0x0000,
output[130], 0x0000,
output[131], 0x0000,
output[132], 0x0000,
output[133], 0x0000,
output[134], 0x0000,
output[135], 0x0000,
output[136], 0x0000,
output[137], 0x0000,
output[138], 0x0000,
output[139], 0x0000,
output[140], 0x0000,
output[141], 0x0000,
output[142], 0x0000,
output[143], 0x0000,
output[144], 0x0000,
output[145], 0x0000,
output[146], 0x0000,
output[147], 0x0000,
output[148], 0x0000,
output[149], 0x0000,
output[150], 0x0000,
output[151], 0x0000,
output[152], 0x0000,
output[153], 0x0000,
output[154], 0x0000,
output[155], 0x0000,
output[156], 0x0000,
output[157], 0x0000,
output[158], 0x0000,
output[159], 0x0000,
output[160], 0x0000,
output[161], 0x0000,
output[162], 0x0000,
output[163], 0x0000,
output[164], 0x0000,
output[165], 0x0000,
output[166], 0x0000,
output[167], 0x0000,
output[168], 0x0000,
output[169], 0x0000,
output[170], 0x0000,
output[171], 0x0000,
output[172], 0x0000,
output[173], 0x0000,
output[174], 0x0000,
output[175], 0x0000,
output[176], 0x0000,
output[177], 0x0000,
output[178], 0x0000,
output[179], 0x0000,
output[180], 0x0000,
output[181], 0x0000,
output[182], 0x0000,
output[183], 0x0000,
output[184], 0x0000,
output[185], 0x0000,
output[186], 0x0000,
output[187], 0x0000,
output[188], 0x0000,
output[189], 0x0000,
output[190], 0x0000,
output[191], 0x0000,
output[192], 0x0000,
output[193], 0x0000,
output[194], 0x0000,
output[195], 0x0000,
output[196], 0x0000,
output[197], 0x0000,
output[198], 0x0000,
output[199], 0x0000,
output[200], 0x0000,
output[201], 0x0000,
output[202], 0x0000,
output[203], 0x0000,
output[204], 0x0000,
output[205], 0x0000,
